lambda,Coordinate1,Coordinate2,Coordinate3,Coordinate4,Coordinate5,Coordinate6,Coordinate7,Coordinate8,Coordinate9,Coordinate10
5,1.2842743790892588e-13,-5.498346834845426e-13,-2.297265854727227e-13,1.0338614448036242e-12,1.4366757104925502e-12,1.1820038599494328e-12,1.7689862647169905e-13,5.768893642319569e-13,-1.8860975939598353e-13,3.8815262286712193e-13
10,-9.398774723304565e-15,3.7943366877101694e-14,1.6477968094418114e-14,-7.662404948754423e-14,-1.0495455920863556e-13,-8.607902939726881e-14,-1.2056283293099288e-14,-3.9813799553687554e-14,1.3112813684083908e-14,-2.9135619465149424e-14
15,-7.101366979345256e-16,1.55934208014885e-15,9.237915954209102e-16,-5.612083943213147e-15,-7.0568921590918876e-15,-5.6501615572463335e-15,-4.1536867616905003e-16,-1.6558807067288254e-15,5.89617056406144e-16,-2.3215369416553753e-15
20,-8.523553633429442e-15,3.5335165634326806e-14,1.4921204981269172e-14,-6.822125736457124e-14,-9.431774974812609e-14,-7.748893366803671e-14,-1.1306247456872094e-14,-3.7096810496197095e-14,1.216035299524515e-14,-2.5772602893839257e-14
25,-3.933268462931953e-15,1.5164648702410037e-14,6.620401471706729e-15,-3.141376272460938e-14,-4.2854829337902577e-14,-3.508693120222066e-14,-4.783339525868086e-15,-1.5936268098869798e-14,5.262587219656182e-15,-1.2033145986260724e-14
30,1.2564407756780362e-15,-6.064477779749876e-15,-2.3787943429297164e-15,9.998097629313182e-15,1.4291015361543036e-14,1.1834280090156446e-14,1.9939201285546315e-15,6.3578931783814585e-15,-2.0528380373375885e-15,3.64940397526781e-15
35,-3.2187192579527885e-15,1.3390340006341874e-14,5.667063738776831e-15,-2.5885295130430706e-14,-3.577025385316324e-14,-2.939054462409854e-14,-4.28537209838691e-15,-1.4054220918133152e-14,4.607946520134436e-15,-9.77590414154452e-15
40,-4.0149214291316565e-15,1.7178436627372994e-14,7.140339033804937e-15,-3.2097613817216e-14,-4.4667515606986385e-14,-3.675625287484595e-14,-5.530012142723259e-15,-1.802928887633215e-14,5.890513828997275e-15,-1.2046310486914213e-14
45,-5.4845185685449394e-15,2.3514017932726483e-14,9.777133674911065e-15,-4.3917294201658796e-14,-6.111705021101461e-14,-5.029570491568003e-14,-7.571192836612725e-15,-2.4676326211512668e-14,8.062078620342511e-15,-1.6477520840258157e-14
50,3.494264747681267e-15,-1.4420568399207137e-14,-6.14982950707754e-15,2.823267673864033e-14,3.891027196004852e-14,3.1954944024310306e-14,4.60577362667434e-15,1.5133601194372465e-14,-4.968661116595094e-15,1.0683353377033887e-14
55,-3.8630807251974546e-15,1.6371838484722435e-14,6.835106719689572e-15,-3.0881622239546236e-14,-4.289386467028902e-14,-3.5279967838203576e-14,-5.26105908371456e-15,-1.71846487885542e-14,5.619849486676215e-15,-1.1612927352480198e-14
60,3.6258729947263705e-14,-1.535473736855738e-13,-6.443384949174291e-14,2.9157011259701273e-13,4.043449446800638e-13,3.3251886753620937e-13,4.9306659333057e-14,1.611287188402378e-13,-5.27332360965688e-14,1.097155710177592e-13
65,2.6722488810644355e-14,-1.1316415889353994e-13,-4.7487671384168304e-14,2.148864021392916e-13,2.980011740899102e-13,2.4506559091335364e-13,3.633894740831211e-14,1.1875157056985768e-13,-3.886429587397356e-14,8.086002979613429e-14
70,-2.444556526347959e-15,1.0342055172625234e-14,4.320604211256685e-15,-1.953824932689676e-14,-2.712994075237755e-14,-2.231238156872162e-14,-3.3223766272658523e-15,-1.0855812077153107e-14,3.550692574794174e-15,-7.349828930656709e-15
75,1.3997036231172357e-15,-5.894331207904936e-15,-2.495591852131643e-15,1.1342906552381432e-14,1.5683617913563313e-14,1.2892081443730597e-14,1.8893308624652772e-15,6.183548748272837e-15,-2.026676016545529e-15,4.275855852879859e-15
80,3.3574267655985884e-15,-1.3657438105190857e-14,-5.8362388149632815e-15,2.6965746373733197e-14,3.7112649970072954e-14,3.046083709189265e-14,4.352413213989554e-15,1.4339124149240854e-14,-4.711545194645959e-15,1.0228402011372277e-14
85,-1.9484945675733264e-15,8.44023540990471e-15,3.499469992833614e-15,-1.5640608066514667e-14,-2.1798510448743576e-14,-1.7947191763526895e-14,-2.7221378559122377e-15,-8.85547160537025e-15,2.89104852663116e-15,-5.856796888966335e-15
90,-9.299870009328898e-16,4.095707006878809e-15,1.6826408894015789e-15,-7.450834473915131e-15,-1.0424458902311828e-14,-8.590204765777305e-15,-1.3251391601672194e-15,-4.2967886251630824e-15,1.4002052617271812e-15,-2.7796771873150827e-15
95,-2.0287655394811134e-15,8.704504919153961e-15,3.624723105692584e-15,-1.6282645072154682e-14,-2.265035557705279e-14,-1.8639694162531267e-14,-2.8024996250168506e-15,-9.13375845375131e-15,2.984671469328666e-15,-6.1094082208390975e-15
100,1.2276289049099878e-15,-5.2093608405047966e-15,-2.191407482332208e-15,9.913789935811163e-15,1.3739843939286904e-14,1.1299325859665147e-14,1.6727602600748615e-15,5.465390972570148e-15,-1.7891846726897873e-15,3.730235225614282e-15
