lambda,value
0.01,0.0018820568793587562
0.012648552168552958,0.0022383540402109224
0.015998587196060583,0.0026415200207037127
0.020235896477251575,0.0030745650834972113
0.025595479226995357,0.0034620652443878588
0.032374575428176434,0.0037479663326904665
0.040949150623804255,0.003893876194238978
0.05179474679231213,0.003884262026638874
0.0655128556859551,0.003244992550775471
0.08286427728546843,0.0014386534710079102
0.10481131341546858,0.0002356961177651621
0.13257113655901095,1.9001058929250334e-10
0.16768329368110083,1.1181251310438903e-09
0.21209508879201905,1.404351375365536e-10
0.2682695795279726,4.4537619015653215e-11
0.33932217718953295,5.090663460682862e-11
0.42919342601287785,5.6072611442416615e-11
0.5428675439323859,2.2233490602669156e-11
0.6866488450043002,6.189483959833182e-11
0.8685113737513529,7.326252369916532e-12
1.0985411419875584,2.623833517436086e-12
1.3894954943731375,6.085868140826205e-13
1.757510624854793,6.261147026426792e-11
2.2229964825261956,3.438892177654591e-11
2.8117686979742307,7.989889529876021e-12
3.5564803062231287,8.276200186751287e-11
4.498432668969444,4.695510810906351e-12
5.689866029018299,2.1052994231165558e-12
7.196856730011521,5.702426988382797e-13
9.102981779915218,4.140447897036679e-12
11.513953993264481,2.1188578645898263e-12
14.563484775012444,1.2125638326190862e-13
18.420699693267164,7.33328212163797e-12
23.29951810515372,2.833201917165227e-12
29.4705170255181,5.636021116727024e-12
37.27593720314942,6.16740237056074e-12
47.14866363457394,6.47803044006922e-13
59.63623316594643,1.0187803202809739e-10
75.43120063354623,5.827377112519505e-12
95.40954763499944,1.3144597744656121e-11
120.67926406393289,7.042805737205897e-11
152.64179671752333,1.873735642607487e-11
193.06977288832496,3.154294204847714e-11
244.205309454865,3.298372454946905e-11
308.8843596477485,1.3375210835443612e-10
390.6939937054621,3.115682684648113e-10
494.17133613238383,3.6311709398692447e-10
625.0551925273976,2.7779717063719694e-10
790.6043210907702,2.4851199820840224e-10
1000.0,9.030337385072578e-12
