lambda,Coordinate1,Coordinate2,Coordinate3,Coordinate4,Coordinate5,Coordinate6,Coordinate7,Coordinate8,Coordinate9,Coordinate10
0.01,0.0022171600627806836,-0.006162293931437596,-0.0003790446641828455,0.04820155302041708,0.058137751696306084,0.046356971518884404,1.7040966552626055e-09,0.007019972300788039,-0.0017684937027140808,0.017962445334268145
0.012648552168552958,0.0008480507563668329,-0.005257179796674249,-2.9575546628797198e-09,0.04640878467827737,0.05659705601505683,0.04476132207851112,4.5200694173473293e-10,0.006321044466733352,-0.0005403693545954437,0.01623142707639705
0.015998587196060583,5.480926689123691e-08,-0.0040442766812504435,3.341353956517241e-10,0.044141817770394706,0.05451448210246391,0.0429657202528699,2.3039506303453407e-09,0.005344018424286681,-4.913612364887356e-08,0.014099158695851155
0.020235896477251575,3.4999153549548774e-09,-0.0024698765444352367,-2.6255336943599055e-09,0.04130495511290272,0.05177253970469326,0.040891033440408994,1.119357574428076e-09,0.004022852202588778,-3.913705780651632e-09,0.011474925370237546
0.025595479226995357,5.092417343125125e-09,-0.0004801989870074115,-4.794340713259148e-09,0.03771086588442715,0.04829904666942346,0.03826039335669378,2.6579371500825948e-09,0.002353081673991387,-6.1264496904635555e-09,0.008157204437188696
0.032374575428176434,2.3899515751194706e-10,-1.8111180045594456e-09,-2.6487885488029584e-10,0.033181458233805396,0.04382903788519933,0.03465808828889979,1.7320183408273605e-10,2.697163426015095e-08,-2.808793257219645e-10,0.0041002039168294094
0.040949150623804255,1.846498069836299e-10,-7.821131318892087e-10,-2.545496760758139e-10,0.027238731665642776,0.03826347959310972,0.029588297481759406,1.8674674516861932e-10,1.3582400601330794e-09,-2.0462536479947863e-10,1.2387869502731694e-08
0.05179474679231213,6.453815835234814e-10,-9.383759531213031e-09,-1.5266264430319122e-09,0.020197964937046255,0.03182391860412517,0.02297143158905503,1.6737017935283871e-09,1.8006306075881636e-08,-1.3240588774110695e-09,1.1042130458589809e-08
0.0655128556859551,4.28134438580088e-11,-2.3362367082612345e-10,-7.730673772051981e-11,0.011276774441379688,0.02366885097691979,0.014586522948007902,5.780064375636541e-11,2.874518914546307e-10,-6.030390184904918e-11,2.0292702757666037e-10
0.08286427728546843,1.267098579039336e-10,-7.164732177832983e-10,-2.5264584924999236e-10,6.913833187959972e-06,0.013362060061002897,0.003992587470405243,1.9021829592892982e-10,8.42298988475885e-10,-1.88514106492983e-10,5.309693060003403e-10
0.10481131341546858,1.8546374940505206e-10,-8.362846001472474e-10,-3.190431650375443e-10,2.8727779659246527e-09,0.0022487556304172296,4.168383664587444e-09,2.4064872111792454e-10,8.953145731784444e-10,-2.6332017166212675e-10,5.858761255844204e-10
0.13257113655901095,2.0766603713732333e-11,-8.60631662007895e-11,-3.498988549382485e-11,2.271324464813549e-10,5.691194885259699e-10,2.8605302915565277e-10,2.571051873731742e-11,9.072398424399527e-11,-2.855888269222801e-11,6.415468309725041e-11
0.16768329368110083,1.1098611054658376e-10,-4.994711405418735e-10,-1.9928126905091802e-10,1.1393993013130545e-09,2.116265971146422e-09,1.4152280760676777e-09,1.520507769357628e-10,5.276459715757075e-10,-1.6229563300511979e-10,3.454528521806653e-10
0.21209508879201905,1.2320786636318254e-11,-5.490263171380033e-11,-2.220947521848961e-11,1.1519272057273118e-10,1.880769146537751e-10,1.3844360985823083e-10,1.7069903916644843e-11,5.785160166337556e-11,-1.8163903065366047e-11,3.790135891987772e-11
0.2682695795279726,3.5082678088314276e-12,-1.4101381229917668e-11,-5.763369113729192e-12,2.9500919481673994e-11,4.4318028794260143e-11,3.4382864752719766e-11,4.230506517405397e-12,1.4680493498839277e-11,-4.8877621721536346e-12,1.0644555590997675e-11
0.33932217718953295,2.343724911947728e-12,-1.6258953482960697e-11,-5.565327192433439e-12,2.2340698402053944e-11,3.925186087490402e-11,3.016006404097806e-11,5.281935241445371e-12,1.690877951638295e-11,-5.232387700818313e-12,6.680752825312673e-12
0.42919342601287785,2.446937947888404e-12,-1.466817360825946e-11,-5.448703111389806e-12,2.0356432170519658e-11,3.0208146234521447e-11,2.534153799664587e-11,4.933717704240996e-12,1.5297864226194725e-11,-4.870545925975099e-12,7.074423624948092e-12
