numNodes,AverageWeight,Rank,CutWeight,Opt
2,0.0,2,0.0,-0.0
4,3.2494036958814405,4,14.295270740253027,14.810388367105853
6,4.512844076688989,6,40.79333445827254,50.33135777383086
8,2.0092505114238883,8,45.90639586913718,50.76657528572046
10,2.060955939732867,10,70.57912824812429,77.43525735530952
12,3.256258241589964,12,126.50512849548834,161.41145859268454
14,3.2191003474649706,14,156.56103472805893,219.94778584354813
16,3.283991736311647,16,223.47591964186296,273.93603021914316
18,2.778317936928839,18,270.01341244642293,310.4496097408049
20,2.8688472873873194,20,342.8484331617255,404.94764454758473
22,2.648441749851586,22,370.74380057823873,433.7897537845516
24,2.770118242093423,24,398.992835708939,545.6300015417833
26,2.646555176459498,26,460.1530421807993,604.214998261203
28,2.7830073526017785,28,598.5159851670164,725.5890668541729
30,3.029185476873217,30,697.2477164345573,881.8560102048341
32,3.04670850259311,32,799.7632405332384,1016.7957758942471
34,2.8616078350898,34,898.5397884729181,1077.6605446029857
36,3.034425522081455,36,968.8265061735667,1250.4569180115036
38,2.7833989623012676,38,1041.1900678335467,1292.778970720298
40,2.9787716608601507,40,1178.4732522734528,1526.8244128120718
42,3.1975279589620125,42,1524.91146028876,1762.5620533083068
44,3.0305656119862077,44,1619.3848390453413,1846.8200853913659
46,2.8782120373808473,46,1591.2632210775284,1934.7264339344968
48,3.044994805704661,48,1883.4399775539405,2187.3305708702264
50,2.837726166469828,50,1857.4920972176465,2260.471601272967
52,2.8918660816195514,52,1975.4559419652785,2439.4649670651775
54,3.0683068509324127,54,2125.6598009441987,2778.0548758954856
56,2.889987228112997,56,2466.4261930900084,2824.884796212675
58,2.9747585568213233,58,2662.212347522952,3113.6569325969817
60,2.971708490220532,60,2721.2574183365136,3281.4253535380926
62,3.0120540136189016,62,3101.3764661117393,3574.550278969101
64,3.0398025232491377,64,3255.418611014223,3806.835055765849
66,2.9003152616276333,66,3256.6570597513046,3895.901014787623
68,2.910384436740359,68,3594.3497259474775,4142.086500336984
70,3.0053810953630418,70,3850.704732728146,4491.678259792678
72,2.999438354509546,72,4138.05408184861,4739.610629040584
74,3.105160243697321,74,4452.764527148412,5131.652122856418
76,3.0040404725880427,76,4507.089659692159,5259.925367237231
78,2.9611756982951825,78,4664.705532643832,5457.26728367073
80,3.0471323114759308,80,4960.26577540656,5907.464175722318
82,2.9879942698588113,82,5393.022482932782,6084.406463973982
84,2.8626043377947656,84,5111.80783972428,6107.799656514322
86,2.9452244146028552,86,5707.862245438226,6553.261566130315
88,2.8629962185811104,88,5573.536404142703,6664.295526216787
90,2.9156606194479524,90,6050.129847058923,7082.415385725599
92,3.02418563940921,92,6541.794278649614,7634.153107827957
94,3.059574000412729,94,7035.16821993203,8040.017806233833
96,2.970085157534911,96,7185.827378425874,8192.369423525053
98,2.9689148901082514,98,7514.16410349549,8476.412024791542
100,3.018895279890419,100,7668.523206895377,8969.13689224653
